GeneID,S9,S11,S1,S3,S5,S7,S13,S15,S17,S10,S12,S2,S4,S6,S8,S14,S16,S18
ATP8A2,48.8818058376703,45.4123697860259,23.3774710849713,26.7479100356735,90.1520928712987,6.6816769405248,98.7626158598437,58.6471084609576,30.2569039343218,17.1850422560318,21.3161541047014,14.2845689780002,11.8515936885285,29.1401888715289,6.27604817684977,6.84802076876687,3.54000274294644,8.66000912619299
TNFSF11,6.74231804657521,12.020921413948,7.30545971405353,0,37.5633720297078,0,11.6856530215846,15.1854120122122,9.05121057864328,5.09186437215758,1.29188812755766,0,0,0,3.76562890610986,3.65227774334233,0,2.66461819267477
TNFSF13B,106.19150923356,138.240596260402,127.114999024531,232.70681731036,142.74081371289,925.412256262684,521.330907382305,36.6544427880985,143.784945192162,180.761185211594,297.134269338262,774.541073473788,853.31474557405,365.871260275862,156.901204421244,1108.00976038648,733.134568064209,590.212929677461
CTSG,30.3404312095885,11.3530924465065,49.677126055564,24.0731190321062,30.0506976237662,114323.492452379,133.819574924597,1.57090469091851,36.4634483311058,2.54593218607879,0,13633.0339151703,0,9.71339629050962,75.3125781221972,24.6528747675607,0,0
PRKD1,21.9125336513694,24.0418428278961,8.76655165686424,8.02437301070206,105.177441683182,0,55.0356561661725,35.3453555456664,18.1024211572866,0.636483046519697,2.58377625511532,1.58717433088891,5.07925443794078,6.47559752700641,1.25520963536995,2.73920830750675,2.12400164576787,0
LRFN5,30.3404312095885,18.0313821209221,2.92218388562141,0,37.5633720297078,0,42.9730465955045,30.8944589213973,13.4475128596986,2.54593218607879,5.16755251023065,0.793587165444455,8.46542406323463,0,0,0,2.47800192006251,0
SLC24A4,11.7990565815066,58.1011201674155,16.0720113709178,26.7479100356735,7.51267440594156,56.7942539944608,163.222185753101,21.9926656728591,22.7573294548745,52.1916098146152,56.1971335487583,167.44689190878,487.608426042314,103.609560432103,21.3385638012892,206.353692498842,83.1900644592414,120.573973218533
RIN3,313.517789165747,470.151593078857,404.722468158566,714.169197952483,563.450580445617,427.627324193587,569.581345664977,352.929920559691,431.613441593018,725.590673032455,301.009933720935,940.40079105168,1576.26196057429,1308.0707004553,562.333916645739,544.189383758008,397.188307758591,1532.82161533616
LGMN,274.74946039794,1338.99707972032,1002.30907276814,1059.21723741267,1029.23639361399,247.222046799417,377.333505632456,263.12653572885,814.608952077895,169.304490374239,173.113009092727,519.006006200674,216.714856018806,469.480820707965,97.9063515588564,169.374380347501,130.272100940429,344.401901403214
THBS1,176.985848722599,796.719958157778,536.220743011529,4196.74708459718,841.419533465455,237.19953138863,879.816585560593,95.3015512490561,529.883727875431,1906.90320737301,115.623987416411,3175.14224894327,19126.7791284723,2023.6242271895,645.177752580156,1550.39190204882,1134.21687884004,2342.86554590929
TYRO3,8.42789755821901,14.0244083162727,2.92218388562141,16.0487460214041,30.0506976237662,6.6816769405248,9.04695717800095,4.18907917578269,4.39630228105531,2.54593218607879,1.93783219133649,0.793587165444455,0,0,0,0,0,0
TP53BP1,234.295552118489,247.764546920818,471.932697527858,163.162251217609,232.892906584188,203.791146686006,174.153925676518,325.700905917104,330.239883112213,251.41080337528,195.721051324986,141.258515449113,79.5749861944055,178.078931992676,86.6094648405268,84.9154575327092,94.5180732366701,141.890918759931
FRMD5,50.5673853493141,56.7654622325324,24.838563027782,48.1462380642124,180.304185742597,83.5209617565599,91.2234848781763,79.3306868913846,43.1872047609551,10.8202117908349,32.2972031889415,26.188376459667,18.6239329391162,3.23779876350321,15.0625156244394,12.3264373837804,45.3120351097145,10.6584727706991
SEMA6D,47.1962263260265,40.737567013935,16.0720113709178,18.7235370249715,150.253488118831,6.6816769405248,101.778268252511,58.6471084609576,32.3257520665831,3.18241523259849,9.04321689290363,5.55511015811119,145.605293887636,12.9511950540128,5.02083854147981,5.02188189709571,7.43400576018753,3.99692728901215
DAPK2,40.4539082794513,51.4228304929999,59.904769655239,56.1706110749144,105.177441683182,43.4309001134112,41.8421769482544,53.9343943882021,69.0478064142216,24.1863557677485,33.5890913164992,23.8076149633337,6.7723392505877,12.9511950540128,1.25520963536995,11.8699026658626,48.8520378526609,11.3246273188678
SMAD3,418.023718887663,592.364294120662,539.142926897151,938.851642252141,646.089998910974,190.427792804957,565.43482362506,355.024460147583,651.428555645783,532.736309936987,437.304131178268,862.629248838123,1886.09648128867,1398.72906583339,390.370196600056,654.214250776195,667.998517593994,1610.09554292373
CORO2B,11.7990565815066,24.7096717953376,5.84436777124283,21.3983280285388,37.5633720297078,10.0225154107872,33.1721763193368,19.6363086364813,11.3786647274373,4.45538132563788,3.87566438267298,13.4909818125557,5.07925443794078,3.23779876350321,0,1.82613887167117,5.31000411441967,0.666154548168692
NOX5,18.5413746280818,10.0174345116234,0,8.02437301070206,30.0506976237662,0,17.7169578069185,7.06907110913328,9.05121057864328,1.27296609303939,0.645944063778831,5.55511015811119,6.7723392505877,0,0,0.456534717917792,0,0
CSK,296.661994049309,77.4681602232207,195.786320336635,74.8941480998859,75.1267440594156,163.701085042857,375.071766337956,114.152407540078,84.0469553731162,304.875379282935,255.147905192638,267.438874754781,1467.90453256488,275.212894897773,328.864924466928,290.812615313633,267.270207092457,446.989701821192
SCAMP5,32.0260107212323,56.7654622325324,11.6887355424857,0,37.5633720297078,6.6816769405248,47.496525184505,7.06907110913328,28.7052678351258,5.09186437215758,2.58377625511532,2.38076149633337,8.46542406323463,0,2.51041927073991,7.30455548668466,1.77000137147322,11.9907818670365
NTRK3,16.855795116438,23.3740138604545,11.6887355424857,2.67479100356735,82.6394184653572,3.3408384702624,74.6373967185079,23.0399354668048,10.0856346447739,0.636483046519697,2.58377625511532,1.58717433088891,15.2377633138223,9.71339629050962,0,0.913069435835583,6.3720049373036,0.666154548168692
MEFV,0,23.3740138604545,8.76655165686424,21.3983280285388,15.0253488118831,10.0225154107872,28.6486977303364,24.8726576062097,13.4475128596986,26.0958049073076,5.16755251023065,88.0881753643346,67.723392505877,48.5669814525481,12.5520963536995,42.0011940484368,36.816028526643,97.9247185807977
ABAT,143.274258489723,160.946781153415,100.815344053939,90.94289412129,67.6140696534741,73.4984463457728,114.594790921345,323.08273143224,284.208012169399,112.021016187467,62.6565741865466,76.1843678826677,0,58.2803777430577,60.2500624977578,73.0455548668467,69.0300534874557,89.9308640027734
